filename,bucket,damage,backend,exit,err_class,stderr_head
fuzz_00059_semi-valid.t27,semi-valid,bool-cast-mismatch,rust,0,ok,
fuzz_00059_semi-valid.t27,semi-valid,bool-cast-mismatch,zig,0,ok,
fuzz_00059_semi-valid.t27,semi-valid,bool-cast-mismatch,c,0,ok,
fuzz_00060_valid.t27,valid,ok,rust,0,ok,
fuzz_00060_valid.t27,valid,ok,zig,0,ok,
fuzz_00060_valid.t27,valid,ok,c,0,ok,
fuzz_00061_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00061_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00061_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00062_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00062_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00062_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00063_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00063_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00063_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00064_malformed.t27,malformed,bad-type-name,rust,0,ok,
fuzz_00064_malformed.t27,malformed,bad-type-name,zig,0,ok,
fuzz_00064_malformed.t27,malformed,bad-type-name,c,0,ok,
fuzz_00065_malformed.t27,malformed,bad-return-arrow,rust,0,ok,
fuzz_00065_malformed.t27,malformed,bad-return-arrow,zig,0,ok,
fuzz_00065_malformed.t27,malformed,bad-return-arrow,c,0,ok,
fuzz_00066_valid.t27,valid,ok,rust,0,ok,
fuzz_00066_valid.t27,valid,ok,zig,0,ok,
fuzz_00066_valid.t27,valid,ok,c,0,ok,
fuzz_00067_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00067_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00067_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00068_malformed.t27,malformed,bad-return-arrow,rust,0,ok,
fuzz_00068_malformed.t27,malformed,bad-return-arrow,zig,0,ok,
fuzz_00068_malformed.t27,malformed,bad-return-arrow,c,0,ok,
fuzz_00069_valid.t27,valid,ok,rust,0,ok,
fuzz_00069_valid.t27,valid,ok,zig,0,ok,
fuzz_00069_valid.t27,valid,ok,c,0,ok,
fuzz_00070_valid.t27,valid,ok,rust,0,ok,
fuzz_00070_valid.t27,valid,ok,zig,0,ok,
fuzz_00070_valid.t27,valid,ok,c,0,ok,
fuzz_00071_valid.t27,valid,ok,rust,0,ok,
fuzz_00071_valid.t27,valid,ok,zig,0,ok,
fuzz_00071_valid.t27,valid,ok,c,0,ok,
fuzz_00072_valid.t27,valid,ok,rust,0,ok,
fuzz_00072_valid.t27,valid,ok,zig,0,ok,
fuzz_00072_valid.t27,valid,ok,c,0,ok,
fuzz_00073_malformed.t27,malformed,bad-type-name,rust,0,ok,
fuzz_00073_malformed.t27,malformed,bad-type-name,zig,0,ok,
fuzz_00073_malformed.t27,malformed,bad-type-name,c,0,ok,
fuzz_00074_valid.t27,valid,ok,rust,0,ok,
fuzz_00074_valid.t27,valid,ok,zig,0,ok,
fuzz_00074_valid.t27,valid,ok,c,0,ok,
fuzz_00075_malformed.t27,malformed,rename-return-keyword,rust,0,ok,
fuzz_00075_malformed.t27,malformed,rename-return-keyword,zig,0,ok,
fuzz_00075_malformed.t27,malformed,rename-return-keyword,c,0,ok,
fuzz_00076_valid.t27,valid,ok,rust,0,ok,
fuzz_00076_valid.t27,valid,ok,zig,0,ok,
fuzz_00076_valid.t27,valid,ok,c,0,ok,
fuzz_00077_valid.t27,valid,ok,rust,0,ok,
fuzz_00077_valid.t27,valid,ok,zig,0,ok,
fuzz_00077_valid.t27,valid,ok,c,0,ok,
fuzz_00078_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00078_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00078_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00079_valid.t27,valid,ok,rust,0,ok,
fuzz_00079_valid.t27,valid,ok,zig,0,ok,
fuzz_00079_valid.t27,valid,ok,c,0,ok,
fuzz_00080_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 17:1"
