backend,spec,run_idx,elapsed_ns,gen_lines
rust,quarantine_manager,0,1908836,256
rust,quarantine_manager,1,1839444,256
rust,quarantine_manager,2,1947651,256
rust,quarantine_manager,3,2468084,256
rust,quarantine_manager,4,1853071,256
rust,resource_scheduler,0,2103736,203
rust,resource_scheduler,1,2039420,203
rust,resource_scheduler,2,2049766,203
rust,resource_scheduler,3,2032171,203
rust,resource_scheduler,4,2095490,203
rust,swarm_coordinator,0,2055031,135
rust,swarm_coordinator,1,2021273,135
rust,swarm_coordinator,2,2067550,135
rust,swarm_coordinator,3,1991833,135
rust,swarm_coordinator,4,2322005,135
rust,test_framework,0,2020506,323
rust,test_framework,1,2049684,323
rust,test_framework,2,2052680,323
rust,test_framework,3,2086935,323
rust,test_framework,4,2028059,323
rust,timing_closure,0,1749937,99
rust,timing_closure,1,1745665,99
rust,timing_closure,2,1733679,99
rust,timing_closure,3,1766144,99
rust,timing_closure,4,1737118,99
rust,topology_visualizer,0,2026875,270
rust,topology_visualizer,1,2046665,270
rust,topology_visualizer,2,2140015,270
rust,topology_visualizer,3,2018076,270
rust,topology_visualizer,4,2079182,270
rust,traffic_animator,0,2266157,307
rust,traffic_animator,1,2168703,307
rust,traffic_animator,2,2153911,307
rust,traffic_animator,3,2214449,307
rust,traffic_animator,4,2163598,307
rust,failure_predictor,0,1939611,178
rust,failure_predictor,1,2020300,178
rust,failure_predictor,2,1948899,178
rust,failure_predictor,3,1973942,178
rust,failure_predictor,4,1963347,178
rust,hardware_validation,0,1758151,93
rust,hardware_validation,1,1800309,93
rust,hardware_validation,2,1743437,93
rust,hardware_validation,3,1789110,93
rust,hardware_validation,4,1782846,93
rust,integration_framework,0,2180276,387
rust,integration_framework,1,2242761,387
rust,integration_framework,2,2228503,387
rust,integration_framework,3,2159880,387
rust,integration_framework,4,2139553,387
rust,network_analytics,0,1792475,120
rust,network_analytics,1,1800099,120
rust,network_analytics,2,1825867,120
rust,network_analytics,3,1927313,120
rust,network_analytics,4,1859892,120
rust,packet_loss_injection,0,1680516,47
rust,packet_loss_injection,1,1650294,47
rust,packet_loss_injection,2,1704246,47
rust,packet_loss_injection,3,1625724,47
