backend,spec,gen_lines,n_runs,median_ns,mean_ns,stddev_ns,min_ns,max_ns
zig,health_monitoring,299,5,2148778,2179141,59216,2143738,2283265
zig,hello,108,5,1737269,1744817,28393,1722233,1790933
zig,integration_framework,305,5,2072423,2091578,51763,2034994,2152295
zig,integration_tests,127,5,1727983,1729115,31996,1684797,1767284
zig,key_management,204,5,1914387,1927633,39640,1894804,1993593
zig,link_quality_monitor,29,5,1541258,1531642,48288,1463137,1592017
zig,link_statistics,46,5,1517408,1562078,113971,1475057,1750498
zig,lite_crypto,86,5,1601454,1603637,25509,1569754,1636657
zig,load_predictor,188,5,1805302,1929808,319055,1751108,2497400
zig,local_processing,183,5,1805387,1808110,31029,1776623,1854188
zig,m3_multihop,43,5,1549137,1546455,41295,1501630,1610754
zig,mesh_node_sim,106,5,1686052,1699664,30890,1677602,1753056
zig,mesh_protocol_stack,169,5,1752183,1751395,14758,1729999,1771622
zig,mesh_routing,123,5,1679207,1697828,41478,1673135,1770798
zig,multipath_router,22,5,1461229,1478063,35558,1446748,1518550
zig,multipath_routing,239,5,1985093,1995605,44493,1958517,2072580
zig,network_analytics,178,5,1808653,1788241,37214,1738614,1823121
zig,network_coding,172,5,1814608,1833547,49023,1794669,1919030
zig,network_metrics,63,5,1490651,1507393,53366,1469036,1598339
zig,network_orchestrator,216,5,1860874,2060517,438535,1848112,2844523
zig,network_simulator,199,5,1943390,1944012,44760,1879728,1994925
zig,olsr_routing,162,5,1877359,1861819,31435,1819017,1892786
zig,packet_loss_injection,121,5,1611875,1623843,28882,1593979,1669359
zig,packet_queue,94,5,1605487,1617447,41715,1574898,1682376
zig,pattern_predictor,217,5,2058530,2075030,34645,2044554,2130737
zig,performance_benchmarks,156,5,1678627,1674435,20695,1642057,1699329
zig,performance_profiler,208,5,1938312,1979396,74459,1920419,2083183
zig,power_monitoring,170,5,1811554,1804201,53867,1736586,1858835
zig,production_deployment,140,5,1735758,1739500,43242,1684747,1805497
zig,production_scenarios,160,5,1731822,1740642,46498,1695152,1819198
zig,quarantine_manager,194,5,1817640,1816108,27520,1779634,1846049
zig,redundancy_management,223,5,1966431,1998409,121114,1905125,2206019
zig,resource_scheduler,271,5,2042626,2045967,32794,2006045,2093885
zig,self_healing,200,5,1849406,1888998,96908,1827283,2060557
zig,swarm_coordinator,185,5,1956691,1962680,23871,1937034,2001918
zig,test_framework,249,5,1947300,1952342,35721,1906108,1988324
zig,test_validator,225,5,1919417,1926520,37047,1889603,1983517
zig,timer,78,5,1576009,1583623,40710,1528756,1631337
zig,timing_closure,157,5,1708510,1718637,28395,1694179,1761318
zig,topology_visualizer,211,5,1938414,1930985,24850,1892615,1951983
zig,traffic_animator,243,5,2056534,2055025,22728,2031880,2085279
zig,transport_tx_fsm,185,5,1680250,1690700,43408,1646717,1755873
zig,trust_manager,66,5,1727292,1742228,38525,1702866,1801459
zig,wire,73,5,1552841,1567453,40672,1534398,1634874
